row,col,hsa,hs,ha,thsa,ths,tha
10,12,129,113,16,371,302,69
11,12,71,71,0,288,136,152
12,12,71,51,20,230,169,61
1,13,98,98,0,486,455,31
2,13,57,57,0,845,576,269
3,13,20,20,0,92,91,1
4,13,37,37,0,265,260,5
5,13,145,145,0,478,433,45
6,13,183,183,0,836,819,17
7,13,2,2,0,8,7,1
9,13,9,6,3,35,22,13
10,13,38,36,2,127,112,15
11,13,29,29,0,125,59,66
12,13,35,30,5,119,94,25
1,14,278,278,0,1231,1159,72
2,14,151,151,0,1706,1235,471
3,14,19,19,0,128,123,5
4,14,90,90,0,533,519,14
5,14,378,378,0,1257,1114,143
6,14,407,407,0,1925,1896,29
7,14,5,5,0,23,18,5
9,14,18,14,4,80,56,24
10,14,108,98,10,405,342,63
11,14,63,63,0,296,131,165
12,14,96,74,22,271,189,82
1,15,448,448,0,2099,1960,139
2,15,250,250,0,2549,1917,632
3,15,46,46,0,308,295,13
4,15,186,186,0,1064,1042,22
5,15,608,608,0,2108,1867,241
6,15,637,637,0,3309,3250,59
7,15,9,9,0,37,29,8
9,15,41,35,6,165,120,45
10,15,186,165,21,601,509,92
11,15,101,101,0,490,211,279
12,15,134,108,26,377,295,82
1,16,254,254,0,1056,1017,39
2,16,158,158,0,1433,1107,326
3,16,24,24,0,147,133,14
4,16,110,110,0,564,547,17
5,16,414,414,0,1407,1217,190
6,16,403,403,0,1891,1858,33
7,16,5,5,0,38,25,13
9,16,17,14,3,103,69,34
10,16,93,82,11,278,220,58
11,16,58,58,0,289,125,164
12,16,75,55,20,200,144,56
1,17,87,87,0,474,448,26
2,17,63,63,0,736,525,211
3,17,4,4,0,58,52,6
4,17,25,25,0,211,204,7
5,17,154,154,0,652,565,87
6,17,208,208,0,1113,1089,24
9,17,17,14,3,63,48,15
10,17,33,30,3,126,105,21
11,17,19,19,0,120,49,71
12,17,24,23,1,73,59,14
1,18,239,239,0,1155,1084,71
2,18,118,118,0,1335,993,342
3,18,24,24,0,124,119,5
4,18,85,85,0,485,473,12
5,18,329,329,0,1311,1177,134
6,18,367,367,0,2134,2089,45
7,18,6,6,0,21,15,6
9,18,22,19,3,117,85,32
10,18,111,98,13,365,297,68
11,18,46,46,0,263,114,149
12,18,49,35,14,157,122,35
1,19,437,437,0,2023,1898,125
