row,col,hsa,hs,ha,thsa,ths,tha
5,13,142,131,11,486,455,31
6,13,58,58,0,742,453,289
7,13,176,151,25,845,576,269
8,13,38,38,0,525,267,258
9,13,6,6,0,210,98,112
10,13,19,19,0,172,168,4
11,13,3,3,0,49,45,4
12,13,23,23,0,166,162,4
13,13,22,22,0,92,91,1
14,13,79,69,10,311,288,23
15,13,33,33,0,242,237,5
16,13,62,62,0,265,260,5
17,13,16,16,0,137,133,4
18,13,27,27,0,111,106,5
19,13,25,25,0,90,86,4
20,13,124,114,10,434,405,29
22,13,10,10,0,26,26,0
24,13,9,9,0,32,32,0
32,13,94,77,17,478,433,45
33,13,42,36,6,235,221,14
35,13,183,179,4,806,782,24
36,13,216,216,0,836,819,17
37,13,2,1,1,8,7,1
38,13,5,5,0,14,14,0
39,13,17,17,0,55,43,12
40,13,9,6,3,35,22,13
41,13,16,16,0,79,79,0
42,13,29,25,4,127,112,15
43,13,12,12,0,31,25,6
44,13,11,8,3,67,63,4
48,13,220,220,0,1505,1366,139
49,13,206,193,13,1391,1249,142
53,13,3,1,2,35,3,32
55,13,11,7,4,28,18,10
56,13,3,3,0,15,15,0
57,13,4,4,0,26,24,2
60,13,44,12,32,125,59,66
62,13,13,9,4,119,94,25
1,14,6,6,0,18,16,2
2,14,708,695,13,2768,2736,32
3,14,997,950,47,4302,4064,238
4,14,125,125,0,400,351,49
5,14,377,350,27,1231,1159,72
6,14,157,157,0,1476,911,565
7,14,399,359,40,1706,1235,471
8,14,83,83,0,852,500,352
9,14,29,29,0,382,194,188
10,14,41,41,0,384,373,11
11,14,13,13,0,119,116,3
12,14,43,43,0,325,309,16
13,14,40,40,0,128,123,5
14,14,137,126,11,545,498,47
15,14,71,71,0,505,498,7
16,14,127,127,0,533,519,14
17,14,23,23,0,266,254,12
18,14,90,90,0,286,267,19
19,14,75,75,0,249,245,4
20,14,271,260,11,966,920,46
22,14,7,7,0,25,25,0
24,14,37,36,1,133,127,6
32,14,269,227,42,1257,1114,143
33,14,107,102,5,598,572,26
34,14,2,2,0,10,8,2
35,14,439,427,12,2003,1919,84
36,14,475,475,0,1925,1896,29
37,14,3,2,1,23,18,5
38,14,10,10,0,42,37,5
39,14,51,51,0,156,131,25
40,14,16,6,10,80,56,24
41,14,57,55,2,226,222,4
42,14,67,56,11,405,342,63
43,14,38,38,0,70,63,7
44,14,71,70,1,242,233,9
45,14,2,2,0,21,21,0
46,14,2,1,1,11,8,3
47,14,2,1,1,5,2,3
48,14,515,515,0,3165,2824,341
49,14,515,473,42,2947,2646,301
53,14,23,0,23,122,4,118
54,14,4,4,0,10,6,4
55,14,9,8,1,50,39,11
56,14,8,8,0,38,36,2
57,14,7,7,0,81,78,3
60,14,97,24,73,296,131,165
61,14,6,2,4,18,8,10
62,14,37,17,20,271,189,82
1,15,6,4,2,24,19,5
2,15,1163,1154,9,4423,4363,60
3,15,1468,1420,48,6393,6060,333
4,15,149,149,0,573,501,72
5,15,639,600,39,2099,1960,139
6,15,255,255,0,2221,1431,790
7,15,644,577,67,2549,1917,632
8,15,125,125,0,1296,751,545
9,15,54,54,0,571,341,230
10,15,101,101,0,757,727,30
11,15,34,34,0,242,226,16
12,15,65,65,0,523,490,33
13,15,72,72,0,308,295,13
14,15,235,216,19,1026,920,106
15,15,131,131,0,970,947,23
16,15,268,268,0,1064,1042,22
17,15,57,57,0,562,534,28
18,15,185,185,0,555,528,27
19,15,143,143,0,453,445,8
20,15,515,498,17,1675,1606,69
22,15,19,18,1,68,66,2
24,15,89,86,3,229,224,5
26,15,2,2,0,2,2,0
32,15,468,381,87,2108,1867,241
33,15,193,178,15,1063,982,81
34,15,5,4,1,14,13,1
35,15,772,748,24,3468,3330,138
36,15,783,783,0,3309,3250,59
37,15,9,6,3,37,29,8
38,15,19,19,0,61,58,3
39,15,88,88,0,283,245,38
40,15,32,21,11,165,120,45
41,15,95,95,0,484,483,1
42,15,131,113,18,601,509,92
43,15,49,49,0,103,95,8
44,15,120,112,8,396,366,30
45,15,14,14,0,41,41,0
46,15,5,3,2,25,19,6
47,15,3,0,3,13,6,7
48,15,830,830,0,4962,4465,497
49,15,805,753,52,4594,4135,459
53,15,48,1,47,215,2,213
55,15,18,15,3,92,77,15
56,15,14,14,0,50,45,5
57,15,23,21,2,143,137,6
60,15,156,35,121,490,211,279
61,15,5,2,3,41,23,18
62,15,67,49,18,377,295,82
1,16,8,8,0,25,24,1
2,16,639,630,9,2367,2339,28
3,16,1003,963,40,4361,4092,269
4,16,107,107,0,344,311,33
5,16,320,307,13,1056,1017,39
6,16,164,164,0,1209,828,381
7,16,345,307,38,1433,1107,326
8,16,94,94,0,790,476,314
9,16,39,39,0,346,210,136
10,16,53,53,0,475,461,14
11,16,17,17,0,179,167,12
12,16,38,38,0,358,328,30
13,16,44,44,0,147,133,14
14,16,132,121,11,585,527,58
15,16,83,83,0,573,557,16
16,16,160,160,0,564,547,17
17,16,43,43,0,320,313,7
18,16,104,104,0,326,304,22
19,16,54,54,0,191,181,10
20,16,322,299,23,1005,946,59
22,16,12,12,0,44,44,0
24,16,36,36,0,125,122,3
32,16,320,251,69,1407,1217,190
33,16,126,107,19,750,675,75
35,16,458,450,8,1969,1891,78
36,16,473,473,0,1891,1858,33
37,16,9,5,4,38,25,13
38,16,8,8,0,48,45,3
39,16,47,47,0,158,137,21
40,16,27,15,12,103,69,34
41,16,57,57,0,213,212,1
42,16,56,44,12,278,220,58
43,16,33,33,0,60,55,5
44,16,51,47,4,197,186,11
45,16,7,7,0,18,17,1
46,16,6,5,1,15,9,6
47,16,3,1,2,14,6,8
48,16,454,454,0,2514,2277,237
49,16,474,448,26,2377,2157,220
53,16,18,0,18,83,2,81
55,16,13,10,3,45,35,10
56,16,6,6,0,24,18,6
57,16,16,12,4,84,77,7
60,16,89,19,70,289,125,164
61,16,8,3,5,21,10,11
62,16,28,13,15,200,144,56
1,17,2,2,0,3,3,0
2,17,265,263,2,984,973,11
3,17,438,422,16,1855,1749,106
4,17,47,47,0,187,173,14
5,17,139,132,7,474,448,26
6,17,55,55,0,646,360,286
7,17,137,120,17,736,525,211
8,17,24,24,0,404,211,193
9,17,15,15,0,178,94,84
10,17,15,15,0,145,142,3
11,17,5,5,0,49,46,3
12,17,19,19,0,111,101,10
13,17,11,11,0,58,52,6
14,17,49,45,4,197,173,24
15,17,28,28,0,190,180,10
16,17,54,54,0,211,204,7
17,17,11,11,0,108,105,3
18,17,22,22,0,118,110,8
19,17,11,11,0,68,64,4
20,17,90,82,8,324,304,20
22,17,8,8,0,24,24,0
24,17,18,17,1,90,87,3
30,17,3,3,0,4,4,0
32,17,140,110,30,652,565,87
33,17,57,56,1,331,312,19
35,17,242,236,6,1173,1093,80
36,17,245,245,0,1113,1089,24
38,17,6,6,0,11,11,0
39,17,33,33,0,106,91,15
40,17,14,9,5,63,48,15
41,17,17,17,0,86,85,1
42,17,25,21,4,126,105,21
43,17,3,3,0,13,13,0
44,17,28,27,1,102,95,7
45,17,5,5,0,14,14,0
47,17,3,2,1,5,3,2
48,17,215,215,0,1508,1369,139
49,17,227,214,13,1413,1264,149
53,17,13,2,11,65,2,63
55,17,4,2,2,12,7,5
57,17,5,4,1,36,30,6
60,17,33,6,27,120,49,71
62,17,12,5,7,73,59,14
1,18,3,3,0,25,25,0
2,18,539,534,5,2159,2130,29
3,18,799,778,21,3446,3253,193
4,18,125,125,0,452,391,61
5,18,337,320,17,1155,1084,71
6,18,95,95,0,1078,647,431
7,18,292,269,23,1335,993,342
8,18,53,53,0,612,334,278
9,18,10,10,0,292,146,146
10,18,45,45,0,363,344,19
11,18,9,9,0,112,104,8
12,18,36,36,0,244,229,15
13,18,29,29,0,124,119,5
14,18,120,111,9,452,401,51
15,18,72,72,0,420,409,11
16,18,142,142,0,485,473,12
17,18,32,32,0,272,266,6
