row,col,hsa,hs,ha,thsa,ths,tha
15,22,8,8,0,31,30,1
16,22,8,6,2,15,10,5
1,23,102,102,0,480,410,70
2,23,37,37,0,608,577,31
3,23,15,15,0,179,168,11
4,23,38,38,0,453,425,28
5,23,220,218,2,763,713,50
6,23,66,66,0,731,718,13
7,23,21,21,0,461,445,16
8,23,328,317,11,1323,1255,68
10,23,2,1,1,7,4,3
11,23,778,778,0,3948,3763,185
12,23,128,128,0,349,348,1
