rarity, ship, name, source, image
2, Admiral, Mangaka Admiral, https://www.pixiv.net/artworks/51860149, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_mangaka_admiral.jpg
2, Maruyu, Maruyu-san, https://www.pixiv.net/artworks/45062108, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_maruyu-san.jpg
2, Maya, Maya Kai Ni, https://www.pixiv.net/artworks/55974701, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_maya_kai_ni.jpg
2, Chitose, Moonlight Chitose, https://www.pixiv.net/artworks/43876295, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_moonlight_chitose.jpg
2, Fumizuki/Kikuzuki/Kisaragi/Mikazuki/Minazuki/Mochizuki/Mutsuki/Nagatsuki/Satsuki/Uzuki/Yayoi, Mutsuki Class, https://www.pixiv.net/artworks/62619556, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_mutsuki_class.jpg
2, Ashigara/Haguro/Myoukou/Nachi, Myoukou Class, https://www.pixiv.net/artworks/68766524, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_myoukou_class.jpg
2, Abyssal, Northern Imouto, https://www.pixiv.net/artworks/74892478, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_northern_imouto.jpg
2, Abyssal, Pacific Princess, https://www.pixiv.net/artworks/75304671, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_pacific_princess.jpg
2, Hiei/Isokaze, Poison Cooking, https://www.pixiv.net/artworks/50585009, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_poison_cooking.jpg
2, Ro-500, Ro-500 Assault, https://www.pixiv.net/artworks/76250917, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_ro-500_assault.jpg
2, Ark Royal/Warspite, Royalties, https://danbooru.donmai.us/posts/3107693, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_royalties.jpg
2, Ryuujou, Ryuujous Day Off, https://twitter.com/wotake_fox/status/969925595344728064, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_ryuujous_day_off.jpg
2, Uzuki, Sanma Uzuki, https://www.pixiv.net/artworks/71934438, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_sanma_uzuki.jpg
2, Kaga/Zuikaku, Secret Friends, https://twitter.com/zakii03/status/982257778419888130, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_secret_friends.jpg
2, Sendai, Send-ice To Sendai, https://www.pixiv.net/artworks/75762812, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_send-ice_to_sendai.jpg
2, Harusame/Kawakaze/Murasame/Samidare/Shigure/Shiratsuyu/Suzukaze/Umikaze/Yamakaze/Yuudachi, Shiratsuyu Class, https://www.pixiv.net/artworks/73080009, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_shiratsuyu_class.jpg
2, Shoukaku, Shoukaku Shrine Visit, https://www.pixiv.net/artworks/53671536, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_shoukaku_shrine_visit.jpg
2, Shoukaku/Zuikaku, Shoukaku-class Carriers, https://www.pixiv.net/artworks/42685076, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_shoukaku-class_carriers.jpg
2, Yamato, Snow Yamato, https://www.pixiv.net/artworks/40988309, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_snow_yamato.jpg
2, Tenryuu, Solemn Tenryuu, https://www.pixiv.net/artworks/53543395, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_solemn_tenryuu.jpg
2, Gangut/Hibiki/Tashkent, Soviet Comrades, https://www.pixiv.net/artworks/68291584, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_soviet_comrades.jpg
2, Gotland, Starter Ship Gotland, https://twitter.com/i/web/status/1154868767878332416, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_starter_ship_gotland.jpg
2, Suzutsuki, Suzutsuki, https://www.pixiv.net/artworks/65004850, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_suzutsuki.jpg
2, Kasumi, Swimsuit Kasumi, https://www.pixiv.net/artworks/76004343, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_swimsuit_kasumi.jpg
2, Murasame, Swimsuit Murasame, https://www.pixiv.net/artworks/76773313, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_swimsuit_murasame.jpg
2, Kamikaze, Sword Maiden Kamikaze, https://www.pixiv.net/artworks/56747514, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_sword_maiden_kamikaze.jpg
2, Tsushima, The Ghost Of Tsushima, https://www.pixiv.net/artworks/68771066, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_the_ghost_of_tsushima.jpg
2, Matsukaze, Travel Partners, https://www.pixiv.net/artworks/76332793, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_travel_partners.jpg
2, Shoukaku/Zuikaku, Tropical Cardiv 5, https://www.pixiv.net/artworks/51823456, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_tropical_cardiv_5.jpg
2, Akebono, Twintails Akebono, https://www.pixiv.net/artworks/75843566, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_twintails_akebono.jpg
2, Amagi/Katsuragi/Unryuu, Unryuu Sisters, https://twitter.com/i/web/status/706433720538902530, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_unryuu_sisters.jpg
2, Hibiki, Verniy Jelly Roll, https://www.pixiv.net/artworks/60421508, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_verniy_jelly_roll.jpg
